#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#33,#34,#36,#38,#39,#40,#44,#47,#57,#58,#59,#61,#63,#71,#72,#73,#76,#78,#80,#81,#84,#85,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100,#101,#102,#103,#104,#105,#107,#108,#109,#110,#111,#112,#113,#114,#115,#116,#117,#120,#121,#122,#124,#125,#127,#128,#130,#131,#132,#134,#136,#137,#138,#140,#141,#143,#144,#146,#150,#151,#155
255955.875,308494.0625,131213.46875,186952.453125,119517.6171875,1077301.875,1065514.0,709881.875,1097395.75,105785.28125,1068049.125,1138675.625,1210985.375,1199547.625,1053880.375,922600.625,455411.75,967316.4375,999359.5625,65512.75,989047.6875,1067935.625,89588.8828125,76567.1015625,1046145.875,967381.8125,1125662.375,985259.5625,1146987.375,1024386.5625,971930.4375,834909.0625,982247.0625,459197.53125,1059140.25,1141892.625,505121.21875,1069959.375,952661.875,1006858.625,1080080.75,935096.9375,1196523.125,1252269.625,847281.0,347327.53125,966623.8125,1173161.0,1118851.0,887398.0,948943.5,893873.375,911162.9375,996188.9375,981009.5,1068076.25,886116.625,352031.59375,964395.875,1046473.1875,922541.1875,987498.5,1094354.5,808476.8125,931142.4375,1030586.0,974993.875,629270.1875,1012731.8125,413080.375,618310.625,1021794.875,957408.1875,1123644.5,1006778.625,361201.875,808239.875,941500.4375,1021594.8125,1087320.125,1028997.4375,994024.125,1050491.375,1034834.25,1037762.9375,1129395.625,999129.25,1005593.5625,1055734.125,1189768.0,1095201.5,965278.5,1111287.625,1083569.875,945035.375,995785.5625,997729.5625,1156461.625,921851.5,1130613.5,1172571.625,1110159.5,1115427.75,1034358.75,1133949.75
249210.96875,301559.9375,130771.0625,182073.9375,117395.0546875,1064643.5,1061622.375,700386.625,1084930.25,105629.828125,1062123.5,1132975.0,1195756.0,1193959.75,1044074.3125,916472.625,460948.3125,964764.8125,998723.25,62956.375,990269.875,1065459.0,88360.6171875,75727.171875,1046868.8125,957936.0,1126058.5,990139.375,1154336.625,1028339.5625,972232.0,831945.125,983146.0,460601.09375,1050851.5,1152389.125,494759.21875,1064093.625,954290.0,994255.25,1148389.625,941355.5625,1159203.625,1250336.5,889892.1875,347749.21875,920655.6875,1156158.5,1112999.625,864816.875,952854.125,902627.5,906884.125,1003479.375,987245.5625,1057275.375,879933.9375,349567.125,979386.8125,1027776.8125,921359.8125,992148.4375,1098967.375,807512.375,941008.75,1045710.125,971974.625,650221.9375,1012313.5625,408388.84375,622191.9375,1017777.8125,962582.9375,1118314.125,1012404.1875,363892.53125,828579.5,945277.875,1029945.375,1095816.0,1027097.875,995539.8125,1051326.0,1049957.0,1050186.875,1126700.75,1001646.75,989905.5,1068160.25,1187975.375,1099324.375,979085.375,1109945.75,1087853.625,946607.1875,999210.5,1011429.0625,1156448.5,920504.125,1129266.375,1175927.5,1101711.25,1128116.0,1044601.1875,1142709.125
246987.375,302737.8125,126876.171875,176769.921875,118715.3046875,1061947.25,1061740.375,701657.125,1091169.625,105467.3359375,1061744.625,1128461.375,1188843.0,1191338.25,1046177.8125,917161.1875,460821.0625,964360.375,1000565.875,65246.43359375,988570.4375,1067675.375,88322.5390625,76053.03125,1050891.5,962749.1875,1128949.875,988456.8125,1154186.125,1027572.9375,974172.4375,837035.875,979188.8125,462930.90625,1054879.125,1150702.25,488135.75,1062961.625,961647.375,999641.9375,1155039.0,947749.375,1163055.0,1238480.5,888126.8125,345556.34375,935770.5,1152794.375,1113252.75,877927.625,953920.4375,901150.125,908051.6875,1008120.3125,987575.875,1052333.875,883089.0625,352262.59375,976548.4375,1045070.4375,932239.8125,994727.1875,1099987.5,806864.25,941334.125,1037622.3125,968918.3125,648520.4375,1015441.1875,409200.71875,623843.8125,1014333.5,962762.5,1116419.125,1011053.6875,361310.375,825543.375,943772.1875,1027639.375,1093889.75,1024093.125,998464.4375,1057909.625,1053259.375,1042311.1875,1120205.375,997199.5,994261.25,1063781.0,1186329.125,1095128.5,974994.0,1097058.75,1086221.0,943664.3125,994258.625,1015381.5,1155460.125,917775.1875,1133746.375,1180364.25,1101635.875,1125232.375,1041506.8125,1143497.25
251041.0625,303263.5,129218.8125,185602.546875,119331.75,1068218.125,1057248.25,710599.875,1081846.5,104194.6015625,1061803.125,1134082.625,1191858.75,1191404.125,1054263.625,920926.0625,461470.75,962903.5,999096.4375,64202.23046875,988800.5,1071945.625,87870.375,75741.6875,1045824.75,959725.5,1124704.625,987023.6875,1152805.875,1035828.4375,973976.625,827148.5625,980340.3125,461400.78125,1046572.125,1152326.0,480767.9375,1058007.0,964059.375,997961.25,1154113.5,948084.3125,1151141.625,1242044.0,903382.125,346627.09375,922824.125,1147528.5,1106697.5,873283.0625,952293.5,894780.1875,912502.8125,1001468.9375,989508.3125,1051795.75,883024.9375,351061.53125,976681.8125,1037358.125,936385.5,997243.375,1103759.25,804386.9375,935985.375,1040163.1875,972396.1875,642232.5,1012871.375,405598.25,619513.0625,1017910.6875,964501.8125,1109397.75,1011900.5,356893.6875,830853.1875,942134.6875,1030966.75,1090135.5,1005445.4375,996305.875,1052160.875,1042973.5,1040058.3125,1114265.5,998007.875,986854.4375,1061154.625,1175427.25,1082159.0,971271.6875,1093798.25,1086419.625,937442.375,995508.3125,1013888.3125,1148400.75,912089.25,1122859.625,1166601.875,1100804.0,1126553.0,1032149.5625,1131709.125
252072.390625,302681.40625,131612.03125,186574.65625,119696.0234375,1067821.25,1058759.125,705195.625,1090787.625,105671.640625,1067938.25,1134430.75,1195459.375,1191660.375,1043759.1875,919308.0,453467.84375,964950.0625,1002163.375,63630.90234375,989360.8125,1071114.25,88637.96875,75603.421875,1049019.25,957659.0625,1127863.75,989805.3125,1152949.875,1033573.25,972229.9375,828984.875,983003.6875,459183.78125,1055675.625,1155598.375,482848.6875,1068010.625,962407.375,999468.625,1162836.875,950010.75,1159356.375,1252255.375,897987.5,348887.65625,952265.875,1157944.0,1111869.0,878202.0,950205.6875,904698.4375,907908.9375,1001034.5,995323.1875,1055987.5,880628.1875,349869.15625,978227.0625,1039547.5625,928189.1875,995990.1875,1103220.125,806211.0,936630.1875,1046006.8125,975549.6875,647959.9375,1011858.125,407271.625,616649.375,1019433.5625,963893.25,1106064.25,1011126.4375,364359.90625,826106.875,942758.3125,1031127.5625,1093373.375,1016461.4375,995397.875,1053481.875,1043008.625,1044112.0,1120792.0,998541.5625,984580.8125,1058878.5,1191143.5,1090584.125,972056.9375,1108297.625,1088904.625,945201.8125,996935.0625,1011763.8125,1153007.0,922924.125,1128117.625,1171261.125,1104612.875,1121100.875,1038524.75,1136745.5
248898.625,304689.4375,126541.1875,182583.03125,117956.8984375,1066296.625,1055763.5,709168.5,1088824.75,105838.6015625,1069041.875,1136835.0,1189489.625,1193866.25,1058633.0,923164.1875,458760.625,962143.0625,999615.8125,65772.9375,990111.5,1075354.0,88299.921875,76202.90625,1043647.5,960571.5625,1129283.0,988593.8125,1160629.625,1036742.5,972626.0,830404.25,983776.125,461194.3125,1049399.125,1154613.625,476572.09375,1059130.5,959919.6875,998142.5,1164329.75,952179.6875,1153625.0,1248334.375,908385.875,347410.9375,929746.0,1154040.25,1103314.875,875802.1875,950752.9375,898213.3125,912089.5,1002878.4375,995674.5,1047908.8125,885140.5,351854.625,979923.5625,1028236.625,932412.4375,999342.0,1107369.125,804135.6875,938550.1875,1047397.1875,974572.0,640845.375,1012505.8125,406572.34375,616193.1875,1017366.1875,961916.125,1092179.5,1014775.375,361782.96875,830363.0,938855.875,1032373.875,1090997.75,1001360.875,994538.125,1058891.375,1046410.9375,1039678.4375,1120264.375,993514.8125,985966.4375,1063280.375,1179964.375,1091480.0,975902.4375,1101739.125,1083623.875,940804.625,994702.0,1013486.1875,1155411.875,918573.25,1126302.375,1170801.875,1098035.0,1118452.125,1041030.75,1128682.875
250250.265625,300268.28125,123330.6875,185409.53125,122287.8984375,1063838.25,1057314.75,708415.625,1092385.375,104792.1796875,1073268.375,1138292.5,1197088.875,1193132.625,1059510.625,923965.5,459242.6875,966193.375,998653.5625,64427.26171875,993021.6875,1072897.625,88584.28125,76820.3125,1049986.5,962233.8125,1132309.25,985773.8125,1159908.375,1030255.0625,976554.8125,835444.8125,985447.5,459862.625,1054126.625,1152543.25,489272.6875,1069044.125,957759.5625,998672.5,1165343.75,946993.875,1156303.625,1255943.25,895791.8125,347287.625,958578.0625,1145833.75,1107092.625,879215.8125,950520.4375,909821.875,909552.1875,1003761.1875,989330.75,1055939.375,887815.25,350388.9375,982453.6875,1040093.0625,926591.5625,997074.9375,1096663.0,802043.3125,937141.8125,1047193.5,972201.25,646774.625,1011887.1875,408577.21875,615510.6875,1015393.5,964480.125,1102448.75,1011725.8125,364740.84375,812586.9375,938332.625,1032352.4375,1087564.625,1010159.0,998540.9375,1050175.625,1045713.5625,1049741.5,1117335.0,997890.125,998054.9375,1068775.25,1195895.0,1097599.375,975302.625,1113816.375,1084881.125,947476.1875,995130.625,1011948.5,1152360.0,918473.5625,1130408.375,1176326.75,1102146.375,1126069.75,1041364.8125,1139075.625
248383.53125,305955.625,128043.4296875,188485.453125,120584.0,1073201.625,1055183.5,718106.4375,1100915.875,106405.8671875,1071697.625,1143092.25,1193889.625,1197633.5,1057682.375,928636.0,471892.84375,965447.5625,1000724.75,68913.9921875,992447.1875,1072262.5,89748.40625,76747.328125,1046945.5,961473.1875,1134363.375,984055.5,1161323.0,1032575.0625,970459.6875,831720.5,980427.0625,464271.0625,1060818.25,1160025.0,486980.3125,1065760.375,967547.0625,1010050.625,1193971.625,970395.375,1151829.5,1240097.625,924034.8125,349589.125,930357.5,1150969.5,1108505.625,877865.4375,955306.0,894197.375,913110.3125,1003549.0625,992418.625,1055951.25,879186.5,350740.90625,977677.5,1020507.875,929211.6875,1003622.625,1112629.625,806849.1875,936467.5625,1047559.5625,970641.5,638337.125,1014188.625,408233.3125,616512.8125,1006587.5625,966890.1875,1104627.25,1008666.5,359723.40625,824560.0,939186.3125,1030062.0,1091731.125,1012776.6875,1000148.625,1057343.5,1047872.5,1039782.4375,1109342.5,996649.0625,988856.0,1062914.25,1176076.75,1086639.625,969643.375,1103389.625,1082069.375,943247.875,996168.8125,1014334.9375,1147620.75,914555.8125,1111208.375,1164119.875,1098850.625,1121000.5,1031797.1875,1126460.5
253950.84375,303092.53125,126539.9375,188283.125,120562.9765625,1070791.625,1058400.625,715907.8125,1098679.875,105641.296875,1068264.25,1140895.25,1198386.375,1194041.125,1060320.5,927524.0,464266.15625,964591.6875,1005377.8125,65996.9375,989173.1875,1068677.375,90060.484375,75914.390625,1048078.3125,964143.8125,1118272.0,984502.3125,1151541.375,1030943.0625,974092.8125,825082.5625,979915.0625,461667.75,1049899.875,1157909.125,492518.625,1061077.125,958106.4375,999571.25,1148282.75,951456.3125,1151038.0,1239087.125,898234.5,347146.5,905131.25,1150812.125,1104265.875,863435.6875,946124.125,891151.1875,909218.8125,1001341.375,989418.4375,1054789.5,883139.8125,350608.75,966395.375,1020367.875,922689.5,993034.125,1102514.125,805246.0,935728.125,1044146.3125,969027.25,640029.6875,1010699.1875,410520.125,615229.4375,1012655.25,966068.8125,1114088.5,1005582.125,359735.0,825297.1875,938010.1875,1025697.1875,1088851.125,1021525.25,996216.9375,1043035.6875,1042221.25,1037649.25,1118461.375,991173.1875,989093.875,1066071.625,1170224.125,1089974.5,969054.0,1106389.75,1081733.875,944639.0625,997670.4375,1014086.9375,1143871.0,916059.6875,1113699.0,1161816.25,1098513.0,1123734.375,1029638.4375,1128771.625
252900.6875,306187.78125,129779.734375,183063.734375,119751.8671875,1076594.375,1055650.125,712823.0625,1088580.375,105643.6875,1065667.75,1133812.625,1193777.5,1194691.5,1053803.625,920480.75,458321.25,965116.5,996758.3125,67345.4921875,988867.8125,1072775.125,86165.625,77034.8203125,1048999.25,956839.25,1128163.875,981276.8125,1158337.25,1031540.1875,969122.1875,836420.8125,980045.625,460436.21875,1054216.375,1160123.0,481842.59375,1070197.625,966868.4375,1002916.9375,1168503.0,951214.5,1170190.375,1245075.875,905191.5625,346406.375,967438.125,1157789.625,1103915.0,879543.25,948941.5625,910002.5,921382.0,1008904.75,993713.25,1054358.875,886830.9375,352590.21875,979329.0625,1036862.9375,925575.5625,995674.8125,1111756.875,805159.9375,936952.1875,1041723.0625,973394.625,639324.8125,1013722.9375,410310.09375,616100.9375,1018269.0625,965008.9375,1101505.625,1015148.8125,354823.34375,826782.375,940546.0,1028883.8125,1086562.5,1010637.6875,1000898.4375,1061711.25,1050019.625,1037317.1875,1114601.0,992832.125,991090.125,1067085.5,1184895.75,1093069.375,972495.1875,1107314.75,1079077.125,937999.875,995508.8125,1014276.75,1149345.25,913247.875,1128329.625,1173114.625,1100252.0,1127044.5,1033324.125,1136299.25
