default,fronto-parietal,fronto-parietal,default,default,default,default,cingulo-opercular,fronto-parietal,fronto-parietal,default,fronto-parietal,default,default,default,fronto-parietal,default,cingulo-opercular,cingulo-opercular,default,fronto-parietal,fronto-parietal,fronto-parietal,fronto-parietal,cingulo-opercular,cingulo-opercular,cingulo-opercular,cingulo-opercular,fronto-parietal,cingulo-opercular,cingulo-opercular,cingulo-opercular,fronto-parietal,fronto-parietal,cingulo-opercular,cingulo-opercular,cingulo-opercular,cingulo-opercular,cingulo-opercular,cingulo-opercular,cingulo-opercular,cingulo-opercular,cingulo-opercular,default,cingulo-opercular,default,default,cingulo-opercular,cingulo-opercular,cingulo-opercular,cingulo-opercular,default,default,cingulo-opercular,fronto-parietal,cingulo-opercular,default,default,default,default,default,cingulo-opercular,fronto-parietal,cingulo-opercular,cerebellum,fronto-parietal,cingulo-opercular,fronto-parietal,cingulo-opercular,cingulo-opercular,fronto-parietal,default,fronto-parietal,default,cerebellum,cerebellum,default,default,cerebellum,fronto-parietal,default,fronto-parietal,default,cerebellum,cerebellum,cerebellum,default,cingulo-opercular,cerebellum,cerebellum,cerebellum,cerebellum,default,default,default,default,cerebellum,cerebellum,default,cerebellum,cerebellum,default,cerebellum,cerebellum,cerebellum
36.52310181,71.38800812,37.36827469,64.59085846,40.85831833,350.7814941,419.4277649,214.9841003,432.6755371,46.91835022,485.8852844,654.1500244,575.9751587,725.4671631,594.2348022,455.9253845,91.36659241,655.1365356,696.3757935,48.08800125,670.7089844,639.8156128,65.36639404,43.94249344,681.8897095,594.5357666,738.9517822,704.7477417,712.8084106,680.1159668,672.3110352,646.0123291,667.6350708,424.6079102,657.053894,701.939209,573.2495117,661.7191162,615.9257202,660.5473633,985.3399658,638.3658447,827.8129272,769.4324951,673.2068481,312.7251282,673.0610352,778.0134888,757.7904053,648.5343018,610.0930786,602.5556641,598.6658936,642.6156616,719.6299438,656.1959839,686.6990967,465.0710754,658.2224731,724.0910034,651.5682373,645.2017212,665.6621094,565.8956299,278.9288635,667.5686035,612.9556274,535.1599731,671.7970581,326.6534424,409.8308716,695.1021729,620.2960815,800.2677002,643.2503052,287.1896973,549.7632446,647.2214966,371.1524353,725.4126587,717.3527832,607.9854126,614.0858765,702.9213867,681.5654297,637.2260132,565.758606,590.9533691,725.3240356,698.1898193,670.7036133,687.4668579,701.9342041,632.0336304,604.2475586,632.8381348,668.1755371,674.0097046,634.430603,761.1352539,722.2620239,668.630127,677.6845703,579.56604,593.5887451
36.03349686,68.50382233,37.55601883,63.70680618,41.43244934,356.8689575,425.8469849,221.4323578,434.7870483,46.64302063,496.224823,652.7476196,581.723938,731.7457275,591.2492065,461.7615051,92.18753815,654.7810669,695.9105835,47.69971848,674.0200195,642.5117188,64.95690918,44.28841782,680.5529785,591.3807983,747.7758789,710.6564331,717.272644,683.5776367,672.6474609,650.213562,666.9802856,426.5180969,654.6539307,704.7787476,572.5175171,662.2475586,616.0023804,660.989624,971.0602417,641.4588623,825.3675537,770.7216187,690.5825195,319.6323547,670.5300903,777.333252,761.4260254,648.6187744,611.619751,608.8500977,598.5939941,646.9819946,718.2758789,658.7573853,688.4744873,466.3027344,663.0317993,726.3659668,653.805603,646.1174316,665.6315918,566.3816528,277.0166931,669.4211426,612.8136597,539.6098022,671.6627808,330.8317261,410.1444397,697.6520996,621.8597412,802.9889526,642.0484009,284.9964905,558.1704102,644.4993896,371.0103455,727.0037842,717.9425049,609.5309448,615.2179565,708.5685425,681.8792725,638.6911011,568.8761597,594.4057617,731.8256226,696.501709,672.395813,690.0162354,701.4067383,632.9834595,606.9402466,634.0609131,675.5817261,678.7911377,632.5394287,766.8546143,724.041626,673.2319336,680.6817627,584.37677,599.1779785
35.42031479,71.18182373,38.3741951,64.27184296,40.73171234,359.2290955,429.9296265,223.2894287,431.9996948,47.68841553,495.2949219,654.5916748,579.387207,728.5505981,592.9523926,461.9421692,92.43088531,654.6862793,696.749939,47.70040512,675.571106,640.0440674,66.26402283,44.32033539,683.3578491,592.4122314,744.05896,708.1636963,714.9146729,684.4130859,672.0089722,645.1953735,665.2086792,425.891449,656.121582,703.4263916,572.3780518,666.5776978,615.5524902,662.3190308,976.911499,641.2632446,822.7756958,771.3790894,690.8446655,317.7706299,669.696106,775.7047119,761.5327148,651.4567261,611.5844727,606.1328735,599.1599731,644.7079468,716.9780273,661.1588135,692.9904785,466.9628296,660.7211914,725.2843628,655.0625,646.3977051,664.4985352,565.9554443,282.9715881,667.4570313,615.4765625,538.1868286,668.2334595,329.2701111,408.4039307,700.6726685,622.3878784,799.8156128,643.0825806,285.5292053,556.8444824,648.0684204,372.545105,728.9351196,718.8914185,608.9321899,613.5834961,706.5922852,686.5959473,640.3745728,566.5233154,595.4576416,732.369751,698.9214478,669.1378174,689.2431641,705.3084717,634.7149658,605.8439941,636.6072388,677.9884644,677.1156006,635.0932617,768.7446289,727.3048706,674.6785278,679.4486694,584.1326294,597.1096802
36.88476181,70.3531723,36.56977844,64.67324066,41.87863922,357.3588562,432.7263184,219.2500305,433.6413879,47.29008865,496.7375488,653.788147,579.4000244,726.8080444,591.0876465,457.8364563,90.65582275,654.1994019,694.4180908,48.42597198,673.5286865,639.7919922,65.53173828,44.08514404,680.5333862,593.3364258,744.0704346,710.4561157,712.8500977,681.7560425,670.0114136,645.3009033,664.6759033,423.2671509,655.3719482,704.1298218,571.288269,663.864502,616.878418,663.0090332,977.3556519,641.1712646,829.3708496,771.7870483,686.0865479,313.5710754,670.3471069,775.7479858,758.6766357,647.7207642,611.2392578,604.2909546,597.1702881,641.8842773,722.378418,659.1880493,688.7132568,464.1122437,658.652771,723.7073975,652.1636963,646.498291,669.3041382,568.1469727,275.6494141,670.677124,609.4308472,538.1509399,673.1853638,328.9660339,410.0529785,695.2592773,621.1448364,799.6184082,641.1828003,287.5982666,555.3001709,645.7356567,370.6084595,728.4703979,715.3267212,606.7394409,615.9556274,701.9383545,680.9187622,635.3622437,560.7178345,588.0252075,727.5649414,694.1970215,667.2138062,686.2218628,700.2495728,627.6567383,603.020874,634.5379639,668.4030151,673.888916,632.4078369,765.885498,720.0593872,665.6906128,674.8060303,576.1698608,592.6853638
34.41280365,71.21250153,37.65310287,64.0462265,41.50907135,350.9273987,423.3613586,218.4512787,423.0801697,46.17206573,486.1767578,653.5141602,569.6084595,720.0285034,589.5580444,451.5878296,91.25258636,652.2712402,690.8224487,48.63804626,666.5949707,633.5949097,65.74326324,42.52607346,683.2807617,594.3509521,740.9644775,708.2224121,713.2357178,676.7583008,667.1551514,644.1791992,666.2225952,424.6613464,652.4321289,702.5337524,566.7619019,662.7633667,617.0247192,661.4244995,980.4561157,639.9907227,821.4456177,770.486145,682.0299072,312.115448,669.2810059,779.1384277,755.9666138,648.1741333,608.4077148,605.1115723,599.800293,641.1494751,720.7211304,658.883606,687.6968994,464.4610291,659.0604248,724.4768066,653.215332,646.3186646,669.2041016,567.2027588,282.17276,669.8141479,615.1230469,537.5219116,669.3450317,328.3893433,407.2702026,692.5344849,621.9631958,798.7937622,644.8201904,285.0264893,552.9657593,646.8370361,373.2644348,730.4024658,714.5216675,610.6150513,614.8431396,703.5678711,683.1320801,639.7601929,556.0484619,588.5114136,728.5231323,698.0236206,670.7575073,687.3986816,701.6780396,630.4354858,604.9921265,638.9573364,669.423645,673.6428223,633.1408081,761.9483032,721.1275024,664.3287964,680.0199585,581.4984741,593.3729248
37.77676392,69.76862335,37.76014328,63.17636108,41.02301788,349.8928223,422.3786621,221.730957,432.73349,46.1529274,493.3447266,654.1723022,574.7640381,726.7325439,591.9437256,457.3828735,92.57945251,652.4118652,692.8638306,47.87054062,667.4123535,637.3876953,66.40991974,44.98073578,678.925293,593.4816895,746.4053345,712.9572144,712.4576416,681.1737061,668.3652954,649.7903442,663.956604,423.6787109,657.9396362,700.5288086,568.4899902,662.152832,617.2941895,660.5151367,978.9367065,639.2374878,824.0916748,767.1154785,687.9354858,311.5549316,671.6378784,780.5298462,756.5776367,650.453125,609.600708,612.6661987,597.8251953,646.1196289,723.2154541,656.300293,690.7400513,463.1218262,663.425293,723.5558472,652.8042603,647.3641968,664.5238647,567.3706055,278.0248413,669.6982422,612.3133545,536.4829102,672.8103638,328.3796692,409.7611694,693.0830078,617.7091064,800.0328979,643.4904175,292.5505371,551.4039917,646.1887207,369.6127014,727.8028564,714.8517456,606.7739868,615.9244995,706.586853,677.4378662,634.9140625,563.2371216,590.5458374,731.0571899,700.9841919,672.2299805,688.1039429,701.8406982,628.9935913,605.9353638,636.1320801,671.5343018,673.2514648,631.9743652,761.5940552,722.507019,669.3525391,677.5206909,580.2156372,589.5819702
35.49041748,69.73225403,38.21987915,63.41665268,40.60193634,344.9105835,419.4493713,223.9621735,425.2010803,46.22321701,487.921051,653.1349487,577.4388428,725.5282593,591.5513306,460.5272827,91.47973633,654.4896851,695.7827759,48.78900146,668.6912231,637.3236084,64.95119476,43.42450714,679.3218384,594.4818115,741.3696899,706.2004395,712.1609497,680.9506836,669.765686,649.0297241,665.111084,424.9544678,657.2203979,702.7000122,571.2764282,661.131958,618.0042114,660.7857056,978.5134888,637.1704102,829.3762817,767.1132813,686.2258301,317.565033,671.0083008,775.9694214,761.6958618,649.6981812,608.4396973,608.4122925,598.5269165,644.1912231,717.9904175,656.4212646,688.914856,466.5930176,654.8948364,722.9641724,650.4904175,644.8442383,662.4851074,563.0615234,277.6872864,665.9543457,612.8268433,535.6309814,669.9472046,327.890686,407.3222656,695.3120117,618.1212769,799.0203247,639.5784912,289.1513977,550.9384766,645.1313477,368.7774353,721.6147461,715.7161865,608.7380981,611.0144653,704.5845947,685.8052979,639.2150879,566.2838745,594.7590942,727.791748,696.4406738,670.300293,688.0239258,700.9412842,635.0161743,604.7532349,633.7216797,673.9199829,676.8908081,633.4362183,762.2075806,722.7861328,672.1973267,675.9345093,582.5439453,599.0379639
36.18806458,71.06739807,36.70158768,62.58805084,39.77020645,347.6705322,420.5830688,218.6491547,424.2662048,46.06386566,490.2733765,652.7863159,580.1386719,729.9797363,592.9274902,455.6434937,92.81634521,654.8885498,695.6420288,48.19036484,669.9973145,637.6433716,66.4164505,41.78597641,680.8393555,594.5838013,746.465332,709.937561,713.8580933,683.4688721,670.2697144,647.4077148,665.1276855,423.6862793,658.4642334,702.5125732,568.8141479,662.3364258,615.3458862,660.6117554,967.5880737,639.1601563,826.4730835,767.9923706,690.5458374,314.4920959,671.5834351,777.611145,760.6203003,650.6257324,608.9591675,608.1322632,601.7998657,646.3295288,720.722168,660.9152222,689.163269,463.3191223,661.7250366,724.6369019,650.1860962,645.723877,665.565918,566.2289429,278.7254333,665.7321777,614.1661987,534.1873779,671.5073242,328.1836548,409.3410645,695.2622681,618.6382446,800.4689941,644.8651123,285.6059265,553.0490112,648.6491089,372.3904419,723.4249878,718.6727295,608.6946411,615.1013794,706.1958008,685.4943848,639.059082,564.1947021,594.0077515,727.9522095,697.6760864,671.0848389,688.336792,701.3375244,635.614502,605.8536987,635.8589478,677.1468506,674.8196411,636.845459,764.2750244,725.5656128,673.0244141,677.2331543,581.4049072,594.7612305
36.11541748,70.73943329,35.85160828,64.29494476,39.42248917,351.7240295,421.7197876,221.116394,425.7225037,45.76908875,481.7966614,653.2680664,577.673645,727.8877563,594.0164185,455.943512,93.4173584,652.4247437,691.8660278,47.70685577,671.8164063,637.4825439,67.00341034,44.56530762,677.8911133,591.8235474,740.218811,706.352478,715.3342285,679.8334961,670.3156128,644.4099121,665.6870117,421.4216614,654.539917,702.5205688,561.9541016,662.6091919,613.9526978,659.8764648,973.9870605,640.00177,825.9011841,771.1965332,684.3292236,314.3611755,671.1359253,779.1147461,760.3272705,648.4555664,605.71698,608.8652344,601.0626221,643.2506104,718.8112183,658.4542847,690.1412964,462.307251,661.3722534,726.2845459,650.1296387,646.2300415,668.1100464,565.1449585,278.4613037,667.9295654,613.6404419,536.4726563,671.5322266,327.018158,409.557373,695.5684204,622.0116577,799.7406616,644.0076294,286.6210632,550.8418579,649.5392456,367.5578003,724.5725098,717.7578125,609.3512573,613.3756104,710.1125488,680.7322388,638.2579346,562.5411987,592.03125,728.3444214,701.4368286,671.8285522,692.0537109,703.9506836,629.9772949,606.6088257,633.3529663,672.5280762,675.6616211,634.8215332,763.8457031,725.5704956,669.2849731,675.750061,579.6657715,594.2336426
35.73637772,71.45484161,37.00434113,62.64367676,39.11774063,345.7125244,421.2783813,218.6981964,427.2779236,46.42181015,487.7866516,655.8624878,573.0526733,726.6990356,595.2319336,453.9465942,93.46961975,654.0483398,692.456604,47.48257446,672.086792,637.6817627,65.30917358,42.98291016,679.3117065,592.6003418,746.7329102,709.2858276,712.9938965,680.5275269,671.22052,646.4431763,666.1125488,423.8081055,655.2296753,701.4901733,565.6509399,664.8761597,612.0568848,662.8568726,972.7484741,638.3776245,825.3684692,773.1876221,687.6654663,311.890625,673.8675537,777.9197388,761.0761719,652.0877075,607.9428711,607.0490112,599.31073,644.3390503,720.9387817,659.5787964,690.9494019,462.9275818,663.4915771,724.8208618,653.9006348,645.3788452,665.8631592,566.8338013,281.0085754,670.6218872,615.0473633,538.2975464,673.9224854,328.6044312,410.4771729,697.3491211,621.5231934,801.9196167,642.0444336,290.2301331,553.2116089,648.592041,371.9549866,729.9215088,715.1359253,610.2397461,613.7119751,710.0392456,680.4557495,637.6593628,563.7427368,591.6751709,729.7402344,701.5942383,673.0504761,688.8893433,703.8687744,633.7576294,607.3031006,635.4277954,674.2512817,678.1986694,634.5377197,768.0930176,727.3050537,667.9057617,679.0067749,585.4042969,596.149292
